s,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1
240,Aerials Express; LLC,Avanade,Aerials Express (Airbus Defence & Space),Avanade,i-cubed; LLC (Airbus Defence & Space),Director; Software & Information Technology,Product Management Lead; SaaS and Cloud Services,President,Director; Global Data and Analytics; Platform Lead,General Manager,Tempe; Arizona,Seattle; WA,Tempe; Arizona,Seattle; WA,Tempe; Arizona,month:5;year:2003,month:5;year:2007,month:9;year:2010,month:8;year:2013,month:5;year:2007,month:8;year:2010,month:9;year:2013,,month:5;year:2007,month:9;year:2010,
241,,,,,,,,,,,,,,,,,,,,,,,,,,
242,drugstore.com,Microsoft,Concur Technologies,Microsoft Corp,WhitePages.com,SEM Analyst,BI Manager,Senior Business Intelligence Analyst,Consultant (BI),Marketing Analyst,Bellevue; Washington,,,,,year:2004,year:2004,month:11;year:2008,month:5;year:2009,month:6;year:2012,,month:3;year:2005,month:11;year:2005,month:4;year:2007,month:5;year:2008,
243,Velocity Partners,Velocity Partners,Microsoft,Velocity Partners,Microsoft,Consulting Software Engineer at Microsoft Exchange Server,Consulting Software Engineer at Microsoft Xbox,Product Intelligence Manager,Software Consultant at GlobalScholar,Sr. Product Intelligence Manager,Greater Seattle Area,Greater Seattle Area,Redmond WA,Greater Seattle Area,Redmod WA,month:11;year:2007,month:8;year:2009,month:8;year:2009,month:8;year:2011,month:8;year:2011,month:9;year:2013,month:8;year:2007,month:11;year:2007,month:9;year:2013,,
244,Microsoft,TietoEnator India Pvt. Ltd.,Microsoft,Microsoft,Microsoft,Technical Lead,Project Lead,Senior Software Engineer,Senior Test Lead,Senior Test Lead,Redmond,Redmond; WA,Hyderabad Area; India,,,month:5;year:2008,month:5;year:2010,month:11;year:2007,month:4;year:2008,month:11;year:2014,,month:9;year:2011,,month:6;year:2010,month:8;year:2011,
245,UNIVERSITY OF RIZAL,University of Rizal System,The National Hispanic University,UNIVERSITY OF RIZAL,ART INSTITUTE OF CALIFORNIA,Mathematics/Physics/ Statistics/Research Instructor,Dean-College of Information Management,Contributing Faculty,Graduate School Lecturer,Adjunct Mathematics Instructor,San Francisco Bay Area,San Francisco Bay Area,,,,month:6;year:1997,month:6;year:2011,month:8;year:2010,month:10;year:2011,month:8;year:2012,,month:6;year:2007,month:6;year:2011,month:10;year:2011,month:8;year:2014,
246,Uber,Box,Crowdstar,Box,BeachMint,Data Scientist,Data Scientist,Mobile Game Analyst,Senior Business Analyst,Business Intelligence Manager,San Francisco Bay Area,San Francisco Bay Area,Santa Monica; California,,,month:3;year:2016,,month:11;year:2015,month:3;year:2016,month:12;year:2011,month:5;year:2012,month:6;year:2014,month:11;year:2015,month:6;year:2012,month:5;year:2014,
247,,,,,,,,,,,,,,,,,,,,,,,,,,
248,Globo.com,Globo.com,Globo.com,Globo.com,Sociedade de Engenharia de Televisão,Senior Manager; WebMedia; Product & Engineering,Manager; Product and Engineering,Director; On-line Video,Director; Digital Platforms,Vice-Director PayTV and New Media,Rio de Janeiro Area; Brazil,Rio de Janeiro Area; Brazil,,,,month:8;year:2010,month:10;year:2013,month:7;year:2009,month:7;year:2010,month:11;year:2013,month:8;year:2014,month:8;year:2014,,month:7;year:2010,month:10;year:2013,
249,LG Electronics,University of Minho,trivago,Kentivo,Waldom Electronics,Data analyst,Graduate Assistant,SEO (Search Engine Optimization) Portugal,Machine Learning Specialist,Supply Chain Intern,Amesterdã e Região; Holanda,Braga,Düsseldorf e Região; Alemanha,Amesterdã e Região; Holanda,,month:11;year:2015,month:11;year:2016,month:9;year:2013,month:9;year:2014,month:1;year:2014,month:8;year:2014,month:12;year:2016,month:2;year:2017,month:7;year:2015,month:9;year:2015,
250,Orga Systems,National Bank of Canada,Petrobras,AcuityAds Inc,OANDA Corporation,Systems Development Engineer,Associate of Quantitative R&D; Global Derivatives Trading R&D at National Bank of Canada.,Systems Analyst,Software Developer,Software Engineer,Toronto; Canada Area,Rio de Janeiro Area; Brazil,Toronto; ON,Toronto; Ontario; Canada,,month:5;year:2008,month:12;year:2009,month:5;year:2013,month:7;year:2013,month:12;year:2009,month:4;year:2012,month:11;year:2012,month:5;year:2013,month:8;year:2013,,
251,Centric,Baker Hughes,4Synergy,Wellfound BV,Magion,Senior Software Engineer (freelance),Sr. Software developer,Consulting Partner,Sr. Software engineer,Senior Software Engineer,Gouda,Delft Area; Netherlands,Rotterdam Area; Netherlands,Zoetermeer,Den Haag,month:6;year:2016,,month:6;year:2012,month:7;year:2013,month:5;year:2016,,month:3;year:2006,month:5;year:2012,month:8;year:2013,month:5;year:2016,
252,Globo.com,Globo.com,Globo.com,Globo.com,,Product Coordinator,Product Analyst / Analista de Produto,Product Development Manager at Globo.com,Information Architect / Arquiteto de Informação,,Rio de Janeiro Area; Brazil,Rio de Janeiro Area; Brazil,Rio de Janeiro Area; Brazil,Rio de Janeiro Area; Brazil,,month:10;year:2008,month:6;year:2012,month:4;year:2007,month:12;year:2007,month:1;year:2012,,month:1;year:2008,month:10;year:2008,,,
253,Synergis (contractor at Google),Arizona State University,San Diego State University,Ubisoft,American Express,Data Lead - InDIN Research Study,Graduate Research Assistant,Graduate Research/Teaching Assistant,Data Analyst,SAS Programmer analyst,Mountain View; CA,Tempe; AZ,Greater San Diego Area,San Francisco,Phoenix; AZ,month:2;year:2016,,month:8;year:2010,month:7;year:2013,year:2007,year:2009,month:9;year:2014,month:8;year:2015,year:2012,year:2012,
254,Board of European Students of Technology - BEST Belgrade,P3 Group,KU Leuven,Visaris,KU Leuven,Advisory board member,Field Test Engineer,Innovation Mandate VLAIO - Postdoctoral Researcher,Internship,PhD researcher,Leuven; Belgium,Belgrade; Serbia,Leuven; Belgium,,,month:10;year:2009,month:10;year:2010,month:9;year:2011,month:2;year:2012,month:6;year:2016,,month:5;year:2011,month:7;year:2011,month:2;year:2012,month:5;year:2016,
255,Micron Technology,Micron Technology,Micron Technology,Max,Micron Technology,World Wide Operations Program Manager,HR Program Manager,Data Scientist,.NET; VBA; SQL; Python; R Programmer,Talent Management Program Manager,Boise; Idaho Area,Boise; Idaho Area,Italy and Boise; Idaho Area,Boise,,month:10;year:2011,month:9;year:2012,month:11;year:2010,month:10;year:2011,month:9;year:2011,,month:1;year:1989,month:9;year:2013,month:9;year:2012,month:9;year:2013,
256,PricewaterhouseCoopers,Nike,Nike,GE Transportation,GE Oil & Gas,Management Consultant Intern - M&A,Analyst - Pricing Strategy & Analytics,Senior Analyst - Pricing Strategy & Analytics,Industrial Engineer Intern,Application Engineer Intern,Greater Philadelphia Area,Beaverton; OR,Beaverton; OR,Erie; PA,Exton; PA,month:6;year:2014,month:8;year:2014,month:2;year:2015,month:6;year:2016,month:7;year:2016,,month:5;year:2012,month:8;year:2012,month:5;year:2013,month:8;year:2013,
257,Puget Sound Energy,Puget Sound Energy,Puget Sound Energy,T-Mobile,Puget Sound Energy,Sr. Renewable Resource Integration Analyst,Manager; Power and Gas Supply Operations,Renewable Resources Integration Manager,Sr. Manager; Financial Operations Analytics,Manager; Renewable Resource Integration,Bellevue; WA,Bellevue; WA,Bellevue; WA,Bellevue; Washington,,month:3;year:2010,month:10;year:2011,month:2;year:2013,month:2;year:2014,month:2;year:2014,month:6;year:2014,month:6;year:2014,,month:10;year:2011,month:2;year:2013,
258,HSBC,Forest Pharmaceuticals,HSBC Global Banking and Markets,UBS Investment Bank,HSBC Global Banking and Markets,Data Governance Implementation Lead; Latin Americas,Sales Representative,Americas Head of Data Streamlining; Chief Data Office,Business Analyst & Project Manager,Vice President,New York; New York,New York; New York,Greater New York City Area,,,month:9;year:2013,month:12;year:2014,month:12;year:2012,month:8;year:2013,month:1;year:2015,month:12;year:2015,month:12;year:2011,month:12;year:2012,month:1;year:2016,,
259,Hewlett-Packard,Keystone Solutions,Zahlen Solutions LLC,CNN,Keystone Solutions,Director / Digital Data Science,SVP; Analysis,Founder,Consultant: CNN Digital,Chief Technology Officer,Palo Alto; CA,Orem; UT,,,,month:1;year:2013,month:1;year:2014,month:1;year:2010,month:1;year:2013,month:1;year:2010,,year:2010,year:2011,month:1;year:2010,month:12;year:2012,
260,KRALLMANN AG,iwascoding GmbH,KRALLMANN AG,Institut für Wirtschaftsinformatik; Universität St. Gallen,Swiss Re,Consultant,Freelancer,Junior Consultant,Junior Research Assistant,External,Berlin,,,,,month:7;year:2016,,month:11;year:2011,month:12;year:2014,month:1;year:2016,month:6;year:2016,month:12;year:2014,month:12;year:2015,year:2014,year:2015,
261,Strategy&; part of the PwC network (formerly Booz & Company),Everyday Health,The Economist,Groupon,Groupon,Consultant Intern,Growth/Digital Strategy,New Ventures Summer Analyst,Senior Product Analyst,Technical Product Manager; Relevance Algorithms,New York,New York,Greater New York City Area,Chicago; Illinois,Chicago; Illinois,month:9;year:2011,month:12;year:2011,month:2;year:2012,month:5;year:2013,month:4;year:2011,month:8;year:2011,month:6;year:2013,month:3;year:2015,month:4;year:2015,month:7;year:2016,
262,Toga MBA Consulting,McKinsey & Company,Ministry of Education; Singapore (MOE),Bain & Company,Sale Stock,GMAT Quantitative Instructor (Part time),Business Analyst,Additional Mathematics Teacher,Research Associate (Temporary),Marketing Science & Intelligence Manager,Greater Jakarta Area; Indonesia,Singapore,Singapore,Greater Jakarta Area; Indonesia,,year:2015,year:2015,year:2015,,year:2013,year:2014,year:2015,year:2015,year:2015,year:2015,
263,Acquemini,The Hacker Shack,Rubrikk Group AS,NanniesforGrannies,Helper.io,Founder,Founder,Head Of Sales,Founder,Founder,Kuala Lumpur; Malaysia,San Francisco Bay Area,London; United Kingdom,San Francisco Bay Area,Berlin Area; Germany,month:4;year:2011,month:3;year:2014,month:10;year:2014,month:9;year:2016,month:10;year:2016,,month:3;year:2014,month:3;year:2015,month:2;year:2016,,
264,Freelance,Ryatta Group,Info-Tech Research Group,Freelance,Info-Tech Research Group,Playwright,Junior Software Developer,Intermediate Software Developer,Copy Editor / Research Assistant,Junior Software Developer,Toronto; Canada Area,Toronto; Canada Area,Toronto; Canada Area,Toronto; Canada Area,Toronto; Canada Area,year:2011,,month:4;year:2014,month:11;year:2014,month:10;year:2016,,year:2008,,month:11;year:2014,month:10;year:2016,
265,,,,,,,,,,,,,,,,,,,,,,,,,,
266,Beyond Analysis,PayPal,Royal Mail,Royal Mail,PayPal,Head of Decision Sciences for Visa,Manager Marketing Analytics,Senior Analytics Manager,Customer Analysis Manager,Freelance Senior Data Analyst,London; United Kingdom,London; United Kingdom,,,,month:1;year:2011,month:5;year:2013,month:11;year:2014,,month:7;year:2010,month:1;year:2011,month:1;year:2009,month:8;year:2010,month:6;year:2013,month:10;year:2014,
267,MacLaren McCann,WebCanada,Syncapse,Pinnacle Communications Group Inc.,,Data Warehouse & Technology Developer,Web Developer,Business Intelligence Developer,Web Developer,,Toronto; Canada,Toronto; Canada Area,,,,month:4;year:2013,,month:2;year:2009,month:3;year:2011,month:3;year:2011,month:3;year:2013,month:9;year:2007,month:2;year:2009,,,
268,Korea Educational Broadcasting System (EBS),Korea Educational Broadcasting System (EBS),Putto Entertainment (?) ????????,SASB – Sustainability Accounting Standards Board,Korea Educational Broadcasting System (EBS),Technology Operations Manager - Online Education,Content Developer - Online Education,Entrepreneur & Product Manager - Mobile Game Education,Data Science Program Manager/ Data Scientist,Product Manager - Online Education,Gangnam-gu; Seoul; Korea,Gangnam-gu; Seoul; Korea,San Francisco Bay Area,,,year:2009,year:2011,year:2006,year:2007,month:1;year:2012,month:12;year:2013,month:12;year:2013,,year:2008,year:2009,
269,Oracle Corporation,XBA Group; Inc.,insightformation; inc.,Magenic Technologies; Inc,Avanade,Practice Director,CEO,Practice Manager,Principal Consultant,Global Advanced Analytics Lead,Greater Minneapolis-St. Paul Area,Greater Minneapolis-St. Paul Area,Greater Minneapolis-St. Paul Area,Greater Minneapolis-St. Paul Area,Greater Minneapolis-St. Paul Area,year:2001,year:2002,month:6;year:2002,month:7;year:2005,year:1998,month:2;year:2001,month:6;year:2005,month:9;year:2006,month:7;year:2007,,
270,Peace Corps,St. Cloud State University,American Bankers Association,Summit Consulting; LLC,,Volunteer,Assistant Lead Student Director,Senior Research Manager,Senior Consultant,,Uliastai; Mongolia,St. Cloud; Minnesota,Washington; DC,Washington; DC,,month:6;year:2008,month:7;year:2010,month:9;year:2006,month:5;year:2008,month:9;year:2010,month:2;year:2014,month:2;year:2014,,,,
271,Laffer Associates,Northeastern University,eVestment,eVestment,,Supply-Side Investment Research Intern,Volunteer/Intern - University Catholic Center,Vice President; New Product Innovation,Data Scientist; New Product Innovation,,Greater Nashville Area; TN,Greater Boston Area,Greater Atlanta Area,,,month:5;year:2011,month:7;year:2011,month:9;year:2009,month:4;year:2010,month:7;year:2016,,month:11;year:2011,month:7;year:2016,,,
272,California Tan,Kwikset; Baldwin; Weiser (Spectrum Brands),Bosch and Siemens Home Appliances Group (BSH),California Tan,TMP Worldwide,International Assistant Product Manager,Senior Product Manager,Senior Product Manager,Project Manager,Regional Interactive Manager,Los Angeles; CA,Orange County; California Area,Irvine; CA,Los Angeles; CA,Long Beach; CA,year:2003,year:2005,month:7;year:2013,,year:2007,month:7;year:2013,year:2005,year:2007,year:2002,year:2003,
273,Microsoft Exchange Server,Microsoft Game Studios (Vendor through Extreme consulting),Microsoft UST Team,Microsoft Game Studios,Microsoft IT,Software Engineer,Software Developer,Senior Software Engineer,Development Lead,Sr. Software Engineer,Redmond Washington,Redmond Washington,Redmond; WA,Redmond Washington,Redmond WA USA,month:5;year:2011,month:5;year:2011,month:7;year:2009,month:7;year:2009,month:2;year:2015,month:2;year:2015,month:5;year:2010,month:5;year:2010,month:2;year:2014,month:2;year:2014,
274,ABN AMRO Bank N.V.,ABN AMRO Bank N.V.,Sabbatical / Extended Leave,ABN AMRO Bank N.V.,ABN AMRO Bank N.V.,Project Officer (interim),Senior IT Business Analyst - Basel III Credit Risk (interim),Senior IT Business Analyst enjoying,Test Specialist (interim),Quality Manager (interim),Amsterdam,Amsterdam Area; Netherlands,Amsterdam,,,month:1;year:2011,month:9;year:2012,month:1;year:2014,month:11;year:2016,month:12;year:2016,,month:9;year:2009,month:1;year:2011,month:9;year:2012,month:12;year:2013,
275,Cylance Inc.,Miramar College,Bank of the West,Bank of the West,UC San Diego,Data Scientist,Statistics Instructor,Quantitative Analyst,Quantitative Modeler,Adjunct Lecturer,Irvine; CA,San Diego CA,San Francisco,San Francisco,La Jolla,month:8;year:2016,,month:8;year:2012,month:12;year:2012,month:2;year:2014,month:1;year:2016,month:2;year:2016,,month:9;year:2011,month:6;year:2012,
276,,,,,,,,,,,,,,,,,,,,,,,,,,
277,Microsoft WDG,Microsoft Azure,Microsoft Azure,Microsoft,Microsoft,Senior Security Program Manager,Senior Security Program Manager,Senior Security Engineer,Software Development Engineer,Senior Program Manager,Redmond,Redmond,Redmond; WA,Redmond; WA USA,Redmond; WA,month:3;year:2016,month:3;year:2016,month:2;year:2013,month:2;year:2013,month:10;year:2014,month:10;year:2014,month:9;year:2001,month:9;year:2001,month:11;year:2005,month:11;year:2005,
278,Bench Metrics Hockey Analytics,Wenatchee Wild,Agile Software Solutions; Inc.,Youngstown Phantoms,Wenatchee Wild,Co-Founder,Assistant Coach,Principal Consultant,Assistant Coach,Assistant Coach,Wenatchee; WA,Seattle; WA,Youngstown; Ohio Area,Wenatchee; WA,,month:6;year:2014,,month:9;year:2015,,month:9;year:2001,,month:8;year:2013,month:4;year:2014,month:9;year:2012,month:8;year:2013,
279,Universidad de Buenos Aires,Digital House - Coding School,Globant,Centro de Estudios en Ginecología y Reproducción (CEGYR),Reprogenetics,Master Student of Data Mining,Data Science Instructor,Data Scientist,Basic Researcher,Molecular Geneticist at Reprogenetics,Buenos Aires,Buenos Aires,Buenos Aires; Argentina,Buenos Aires,,month:2;year:2015,month:2;year:2015,month:1;year:2017,month:1;year:2017,month:5;year:2016,month:5;year:2016,month:4;year:2012,month:4;year:2012,month:3;year:2013,month:3;year:2013,
280,Unisys,Unisys,Unisys Global Services India,Peoplefluent,Santa Clara Cricket Club,Senior Business Analyst,Business Analyst,Software Engineer,Application Engineer,,San Francisco Bay Area,San Francisco Bay Area,Bengaluru Area; India,Bengaluru Area; India,,month:10;year:2011,,month:11;year:2009,month:9;year:2011,month:10;year:2008,month:10;year:2009,year:2007,year:2008,,,
281,TeleCommunication Systems; Inc.,Pointinside.com,TeleCommunication Systems; Inc.,Meredith Corporation,VX Technologies,Sr. Software Engineer,Development Manager,Sr. Software Engineer,Development Manager,Development Manager,Greater Seattle Area,Bellevue WA,Greater Seattle Area,Greater Seattle Area,Greater Seattle Area,month:4;year:2016,month:4;year:2016,month:6;year:2014,month:6;year:2014,month:10;year:2014,month:10;year:2014,month:5;year:2015,month:5;year:2015,month:5;year:2011,month:5;year:2011,
282,Omnimedix Institute,DADO Labs,Krysora; LLC,Mount Tabor Online Services,Shiny Purple Pony,Chief Operating Officer,Product Manager,Principal,Chief Operating Officer,Co-founder and Product Manager,Portland; Oregon Area,Portland; Oregon Area,Portland; Oregon Area,Portland; Oregon Area,Portland; Oregon Area,month:8;year:2006,month:11;year:2009,month:5;year:2016,month:2;year:2017,month:3;year:2011,month:12;year:2015,month:5;year:2007,month:5;year:2011,month:2;year:2011,month:2;year:2014,
283,Apptio,110 Consulting,Microsoft,Fundacion Pro Vivienda Social,110 Consulting,Consultant-Customer Success/Center of Excellence,Consultant/Technical PM,Sr. IT Program Manager,R&D/ Monitoring & Systematization Analyst,Consultant/Technical PM,Redmond; WA,Buenos Aires; Argentina,,,,month:12;year:2010,month:11;year:2011,month:11;year:2011,month:4;year:2012,month:11;year:2013,,month:5;year:2010,month:8;year:2010,month:9;year:2012,month:11;year:2013,
284,Unilytics - Business Intelligence & Analytics,Thabthabat Trading,Information Technology Industry Development Agency; ITIDA,Arab Academy for Science and Technology and Maritime Transport,Unilytics - Business Intelligence & Analytics,Intern,IT Management,Research,Infomration Systems Lecturer,Intern,Riyadh,,,,,year:2016,year:2016,month:1;year:2010,month:11;year:2012,year:2007,year:2008,month:8;year:2004,month:6;year:2012,year:2016,year:2016,
285,Huawei,Data Science Dojo,MTN Sudan,Zain Sudan,Ericsson,Senior Enterprise Applications Engineer,Student,BI Planning and Opertaion Manager,Enterprise Business Soultion Specialist,Senior Enterprise Applications Engineer,Bahrain,Sudan,Sudan,Bahrain,,month:9;year:2014,month:9;year:2015,year:2016,year:2016,month:6;year:2013,month:12;year:2013,month:12;year:2013,month:8;year:2014,month:9;year:2015,,
286,Oxy,University of Southern California,Oxy,Data Science Dojo,California Resources Corporation,Staff Reservoir Engineer,Graduate Research Assistant (PhD),Intern; Reservoir Engineer,Student,Staff Reservoir Engineer,Bakersfield; California Area,Los Angeles; CA,Houston; TX,Bakersfield; California Area,,month:1;year:2014,month:12;year:2014,month:8;year:2009,month:12;year:2013,month:5;year:2013,month:7;year:2013,year:2017,year:2017,month:12;year:2014,,
287,Globo.com,Globo.com,Globo.com,Globo.com,AG2,Product Owner,Sr. Information Architect,Information Architecture Manager,Product Owner,Interface Designer,Rio de Janeiro Area; Brazil,Rio de Janeiro Area; Brazil,Rio de Janeiro Area; Brazil,Rio de Janeiro Area; Brazil,Porto Alegre Area; Brazil,month:12;year:2011,month:11;year:2013,month:9;year:2008,month:12;year:2011,month:12;year:2013,month:6;year:2015,month:6;year:2015,,month:9;year:2005,month:9;year:2008,
288,MLD Solutions Inc.,Mozaik Online,Brescia University College,Various Organizations such as Western University; Brescia College; WCT,HTML 500; NHacks 2016,CEO,President,,,,London; Canada Area,,,,,month:9;year:1988,,year:2010,,,,,,,,
289,SAS Institute A/S,SAS Institute A/S,Trustpilot,SAS Institute A/S,SAS Institute A/S,Technical Consultant,Senior Consultant,Data Analyst,Consultant,Senior Analytical Consultant,Copenhagen; Denmark,Copenhagen; Denmark,Copenhagen Area; Capital Region; Denmark,Copenhagen; Denmark,Copenhagen Area; Capital Region; Denmark,month:9;year:2011,month:5;year:2013,month:4;year:2015,month:12;year:2015,month:7;year:2016,,month:6;year:2013,month:3;year:2015,month:1;year:2016,month:6;year:2016,
290,Procter & Gamble,Canadian Tire,Serco,Procter & Gamble,Procter & Gamble,Project Manager,Business Project Analyst; Reverse Flow,Project Analyst - Business Intelligence,Senior Business Analyst,Business Analyst,Toronto; Canada Area,Toronto; Canada Area,.,.,,month:6;year:2007,month:12;year:2011,month:8;year:2014,,month:1;year:2012,month:8;year:2014,month:6;year:2005,month:12;year:2007,month:1;year:2003,month:12;year:2005,
291,SugarCRM,SugarCRM,SugarCRM,SugarCRM,Workday,Manager; Software Development,Sr. Manager; Software Development,Software Engineer,Development Lead,Engineering Manager,San Francisco Bay Area,San Francisco Bay Area,Cupertino; CA,Pleasanton; CA,,month:12;year:2012,month:5;year:2014,month:5;year:2014,month:6;year:2015,month:5;year:2011,month:6;year:2012,month:6;year:2012,month:11;year:2012,month:6;year:2015,,
292,Global Information Technology,Cleveland Clinic Abu Dhabi,Creo Technologies,Emaar Group (Fortune 500 Company),Cleveland Clinic Abu Dhabi,Sr. Software Engineer/DBA,Data (DWH) Architect,Sr. BI Consultant,Sr. BI Specialist,ERP Analytics,Dubai; UAE.,Abu Dhabi,Dubai; UAE.,Dubai; UAE.,Al Maryah Island Abu Dhabi; UAE.,month:10;year:2003,month:12;year:2006,month:10;year:2016,,month:12;year:2011,month:11;year:2013,month:12;year:2006,month:11;year:2011,month:12;year:2013,month:9;year:2016,
293,Asian PGA Berhad (Malaysia),ACE AIMS,eSmart Systems,M3Tech Pakistan (Pvt.) Ltd.,,CTO,Sr. Software Engineer,CTO,CTO,,Karachi,,,,,month:2;year:2004,month:1;year:2005,month:2;year:1997,month:1;year:2001,month:2;year:2001,month:1;year:2004,month:2;year:2005,,,,
294,Texas A&M University at Qatar,National University of Computer and Emerging Sciences,,,,Senior Information Technology Consultant,Lab Engineer,,,,Doha; Qatar,Islamabad; Pakistan,,,,month:3;year:2014,,month:1;year:2012,month:1;year:2014,,,,,,,
295,Lord; Abbett & Co. LLC,Coach,MassMutual Financial Group,Lord Abbett,MetLife,Senior CIS Analyst,Senior Global Database Analyst,Marketing Analytics Manager,Client Information Services (CIS) Analyst,Senior Reporting and Analytics Consultant,Greater New York City Area,Greater New York City Area,Greater New York City Area,Greater New York City Area,Greater New York City Area,month:10;year:2010,month:2;year:2013,month:2;year:2013,month:9;year:2013,month:8;year:2015,,month:6;year:2007,month:9;year:2010,month:9;year:2013,month:8;year:2015,
296,Liberty Mutual Insurance,Institute for Health Metrics and Evaluation,T-Mobile,Zillow,,Statistical Consultant; Advanced Analytics,Post-Graduate Fellow,Business Analysis Manager,Economist,,Greater Seattle Area,Greater Seattle Area,Greater Seattle Area,,,month:8;year:2013,month:8;year:2014,month:7;year:2010,month:8;year:2011,month:9;year:2014,,month:6;year:2012,month:7;year:2013,,,
297,University of Toronto,Kinross Gold Corporation,Kinross Gold Corporation,Kinross Gold Corporation,,Sessional Lecturer,Technical Assistant to Senior VP Exploration,Senior Resource Geochemist,Resource Geochemist,,Toronto; Canada,Toronto; Canada Area,Toronto; Canada,,,month:1;year:2012,month:4;year:2012,month:5;year:2012,month:8;year:2013,month:4;year:2016,,month:8;year:2013,month:4;year:2016,,,
298,Utah Department of Workforce Services,Intermountain Healthcare,Utah Department of Workforce Services,Intermountain Healthcare,,Senior Research Economist,Statistical Data Analyst,Senior Research Economist,Statistical Data Analyst,,,,,,,month:1;year:2012,month:1;year:2012,month:11;year:2015,month:11;year:2015,month:1;year:2012,month:1;year:2012,month:11;year:2015,month:11;year:2015,,,
299,Syntel,CUNA Mutual Group,Photon Infotech pvt Ltd,Allstate Financial,Syntel,Senior Solutions Architect,Senior Solutions Architect - Consultant,Team Lead,Solutions Architect - Consultant,Project Lead,Madison; Wisconsin Area,Madison; Wisconsin Area,Greater Chicago Area,,,month:8;year:2003,,month:10;year:2013,,month:7;year:2001,month:7;year:2003,year:2004,month:10;year:2013,year:2004,year:2009,
300,X-akseli Oy,Brown University Graphics Lab,University of Washington,Data Science Dojo,,Software Engineer,Undergraduate Researcher,Research Assistant,Software Engineering Intern,,Helsinki Area; Finland,,,,,month:2;year:2017,,month:7;year:2013,month:9;year:2013,month:9;year:2014,month:1;year:2015,month:6;year:2015,month:8;year:2015,,,
301,Ashok Leyland,Arizona State University,Robert Bosch Engineering and Business Solutions,Mu Sigma Inc.,Robert Bosch Training Center,Manufacturing Engineering Intern,Graduate Student,Design Engineer,Associate,Product Engineering Intern,Ennore; India,Coimbatore Area; India,Beaverton; Oregon,Bengaluru Area; India,,month:6;year:2009,month:6;year:2009,month:8;year:2013,month:5;year:2015,month:7;year:2011,month:6;year:2013,month:9;year:2015,,month:11;year:2009,month:11;year:2009,
302,InterContinental Hotels Group,DataXu,Verizon Digital Media Services,Brightcove,Sociomantic Labs,Systems Analyst,Solutions Architect,Regional Client Executive,Senior Customer Solutions Specialist,Technical Account Manager,Singapore,Singapore,Singapore,Singapore,Singapore,month:12;year:2005,month:12;year:2005,month:12;year:2014,month:12;year:2014,month:5;year:2016,month:5;year:2016,month:10;year:2010,month:10;year:2010,month:1;year:2014,month:1;year:2014,
303,Microsoft,Microsoft,Microsoft,Microsoft,Microsoft Telecom,Principal Program Manager; Azure Storsimple,CTO; Microsoft Ventures Accelerator,Senior program manager; Data Quality Services,Senior Program Manager; Big Data Incubation Group,Senior Program Manager; Telecomunications,Sunnyvale; CA,Israel,Israel,Israel,,month:7;year:2015,,month:12;year:2012,month:7;year:2015,month:5;year:2010,month:3;year:2012,month:3;year:2012,month:3;year:2014,year:2007,year:2010,
304,Blah! / TIM (Telecom Itália Mobile),Globo.com,,,,Sr. Product  Manager,Senior Product Manager,,,,,,,,,month:4;year:2001,month:10;year:2004,month:10;year:2004,,,,,,,,
305,GIC,GIC,GIC,GIC,Centre for Strategic Infocomm Technologies,Portfolio Engineer,Senior Data Scientist,Business Manager,Executive IT Analyst,Systems Analyst,Singapore,Singapore,Singapore,Singapore,Singapore,month:10;year:2013,month:9;year:2016,month:9;year:2016,,month:2;year:2011,month:3;year:2015,month:12;year:2006,month:1;year:2011,month:6;year:2005,month:12;year:2006,
306,,,,,,,,,,,,,,,,,,,,,,,,,,
307,Microsoft,Microsoft,Microsoft,Microsoft,Microsoft,Principal Software Engineer,Software Engineer in Development,Senior Program Manager,Principal Program Manager,Software Engineer in Test,,,,,,month:10;year:2004,month:6;year:2007,year:2009,,month:9;year:2012,,month:7;year:1997,year:2004,,,
308,Department of Mathematical Sciences; Chalmers and University of Gothenburg,Accenture,University of Gothenburg,Chalmers University of Technology,Accenture,Amanuensis,Associate,Web developer,Teaching Assistant,Analyst,Gothenburg; Sweden,Gothenburg; Sweden,Amsterdam Area; Netherlands,,,month:9;year:2011,month:6;year:2013,month:1;year:2015,month:11;year:2015,month:5;year:2013,month:9;year:2014,month:5;year:2012,month:9;year:2012,month:12;year:2015,,
309,HTC Global Services,Patni Computer Systems,,,,Software Consultant,Senior Software Engineer,,,,,,,,,month:11;year:2005,,year:2001,year:2004,,,,,,,
310,Microsoft,PricewaterhouseCoopers,aurionPro Solutions,Dell,TechValens Software Solutions LLC,Software Development Team Lead,.Net Consultant,Solution Architect,Solution Architect (Consultant),Co Founder & CTO,Greater Seattle Area,Tampa/St. Petersburg; Florida Area,Round Rock; TX,,,month:5;year:2015,,month:9;year:2007,month:6;year:2014,month:8;year:2007,month:5;year:2015,month:6;year:2014,month:5;year:2015,month:6;year:2007,month:4;year:2015,
